h = 2^(-1): 1.8704413979316472, Real: 0.11694228168853815, Difference: 1.753499116243109
h = 2^(-2): 1.1077870952342974, Real: 0.11694228168853815, Difference: 0.9908448135457593
h = 2^(-3): 0.6232412792975817, Real: 0.11694228168853815, Difference: 0.5062989976090435
h = 2^(-4): 0.3704000662035192, Real: 0.11694228168853815, Difference: 0.253457784514981
h = 2^(-5): 0.24344307439754687, Real: 0.11694228168853815, Difference: 0.1265007927090087
h = 2^(-6): 0.18009756330732785, Real: 0.11694228168853815, Difference: 0.0631552816187897
h = 2^(-7): 0.1484913953710958, Real: 0.11694228168853815, Difference: 0.03154911368255764
h = 2^(-8): 0.1327091142805159, Real: 0.11694228168853815, Difference: 0.015766832591977753
h = 2^(-9): 0.1248236929407085, Real: 0.11694228168853815, Difference: 0.007881411252170345
h = 2^(-10): 0.12088247681106168, Real: 0.11694228168853815, Difference: 0.0039401951225235265
h = 2^(-11): 0.11891225046883847, Real: 0.11694228168853815, Difference: 0.001969968780300313
h = 2^(-12): 0.11792723373901026, Real: 0.11694228168853815, Difference: 0.0009849520504721099
h = 2^(-13): 0.11743474961076572, Real: 0.11694228168853815, Difference: 0.0004924679222275685
h = 2^(-14): 0.11718851362093119, Real: 0.11694228168853815, Difference: 0.0002462319323930373
h = 2^(-15): 0.11706539714577957, Real: 0.11694228168853815, Difference: 0.00012311545724141837
h = 2^(-16): 0.11700383928837255, Real: 0.11694228168853815, Difference: 6.155759983439424e-5
h = 2^(-17): 0.11697306045971345, Real: 0.11694228168853815, Difference: 3.077877117529937e-5
h = 2^(-18): 0.11695767106721178, Real: 0.11694228168853815, Difference: 1.5389378673624776e-5
h = 2^(-19): 0.11694997636368498, Real: 0.11694228168853815, Difference: 7.694675146829866e-6
h = 2^(-20): 0.11694612901192158, Real: 0.11694228168853815, Difference: 3.8473233834324105e-6
h = 2^(-21): 0.1169442052487284, Real: 0.11694228168853815, Difference: 1.9235601902423127e-6
h = 2^(-22): 0.11694324295967817, Real: 0.11694228168853815, Difference: 9.612711400208696e-7
h = 2^(-23): 0.11694276239722967, Real: 0.11694228168853815, Difference: 4.807086915192826e-7
h = 2^(-24): 0.11694252118468285, Real: 0.11694228168853815, Difference: 2.394961446938737e-7
h = 2^(-25): 0.116942398250103, Real: 0.11694228168853815, Difference: 1.1656156484463054e-7
h = 2^(-26): 0.11694233864545822, Real: 0.11694228168853815, Difference: 5.6956920069239914e-8
h = 2^(-27): 0.11694231629371643, Real: 0.11694228168853815, Difference: 3.460517827846843e-8
h = 2^(-28): 0.11694228649139404, Real: 0.11694228168853815, Difference: 4.802855890773117e-9
h = 2^(-29): 0.11694222688674927, Real: 0.11694228168853815, Difference: 5.480178888461751e-8
h = 2^(-30): 0.11694216728210449, Real: 0.11694228168853815, Difference: 1.1440643366000813e-7
h = 2^(-31): 0.11694216728210449, Real: 0.11694228168853815, Difference: 1.1440643366000813e-7
h = 2^(-32): 0.11694192886352539, Real: 0.11694228168853815, Difference: 3.5282501276157063e-7
h = 2^(-33): 0.11694145202636719, Real: 0.11694228168853815, Difference: 8.296621709646956e-7
h = 2^(-34): 0.11694145202636719, Real: 0.11694228168853815, Difference: 8.296621709646956e-7
h = 2^(-35): 0.11693954467773438, Real: 0.11694228168853815, Difference: 2.7370108037771956e-6
h = 2^(-36): 0.116943359375, Real: 0.11694228168853815, Difference: 1.0776864618478044e-6
h = 2^(-37): 0.1169281005859375, Real: 0.11694228168853815, Difference: 1.4181102600652196e-5
h = 2^(-38): 0.116943359375, Real: 0.11694228168853815, Difference: 1.0776864618478044e-6
h = 2^(-39): 0.11688232421875, Real: 0.11694228168853815, Difference: 5.9957469788152196e-5
h = 2^(-40): 0.1168212890625, Real: 0.11694228168853815, Difference: 0.0001209926260381522
h = 2^(-41): 0.116943359375, Real: 0.11694228168853815, Difference: 1.0776864618478044e-6
h = 2^(-42): 0.11669921875, Real: 0.11694228168853815, Difference: 0.0002430629385381522
h = 2^(-43): 0.1162109375, Real: 0.11694228168853815, Difference: 0.0007313441885381522
h = 2^(-44): 0.1171875, Real: 0.11694228168853815, Difference: 0.0002452183114618478
h = 2^(-45): 0.11328125, Real: 0.11694228168853815, Difference: 0.003661031688538152
h = 2^(-46): 0.109375, Real: 0.11694228168853815, Difference: 0.007567281688538152
h = 2^(-47): 0.109375, Real: 0.11694228168853815, Difference: 0.007567281688538152
h = 2^(-48): 0.09375, Real: 0.11694228168853815, Difference: 0.023192281688538152
h = 2^(-49): 0.125, Real: 0.11694228168853815, Difference: 0.008057718311461848
h = 2^(-50): 0.0, Real: 0.11694228168853815, Difference: 0.11694228168853815
h = 2^(-51): 0.0, Real: 0.11694228168853815, Difference: 0.11694228168853815
h = 2^(-52): -0.5, Real: 0.11694228168853815, Difference: 0.6169422816885382
h = 2^(-53): 0.0, Real: 0.11694228168853815, Difference: 0.11694228168853815
h = 2^(-54): 0.0, Real: 0.11694228168853815, Difference: 0.11694228168853815
